;marca;preco
0;Cadeira Gamer Prizi JX-1039B, até 120 kg, com Almofadas na lombar e pescoço, Azul;R$ 599,55
1;Cadeira Gamer Husky Gaming Snow, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BK;R$ 484,99
2;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074;R$ 954,99
3;Cadeira Gamer Husky Gaming Tempest 700, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA075;R$ 954,99
4;Cadeira Gamer Husky Gaming Tempest 700, Branco,  Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA077;R$ 979,99
5;Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078;R$ 879,99
6;Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076;R$ 954,99
7;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - MGCH-MX5/BK;R$ ----
8;Cadeira Gamer Vermelha Prizi - Jx-1039r;R$ 495,00
9;Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082;R$ 829,99
10;Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto;R$ ----
11;Cadeira Gamer Husky Gaming Storm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BK;R$ 769,99
12;Cadeira Gamer Husky Gaming Tempest 500, Preto e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA081;R$ 829,99
13;Cadeira Gamer Prizi Jx-1039p, Rosa, Suporta 120kg;R$ ----
14;Cadeira Gamer Prizi Jx-1039g, até 120 kg, com Almofadas para Pescoço e Lombar, Regulagem de altura, Verde;R$ ----
15;Cadeira Gamer Husky Gaming Tempest 500 Black e Purple, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - Special Edition;R$ 829,99
16;Cadeira Gamer Husky Gaming Hailstorm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BK;R$ 899,99
17;Cadeira Gamer Prizi Canvas, Até 120Kg, Com Almofadas, Branca;R$ ----
18;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto - mgch-mx0/bk;R$ 381,65
19;Cadeira Gamer Mymax MX7, Até 150KG, Giratória, Preto Gold Edition;R$ 640,90
20;Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005;R$ ----
21;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto - mgch-8131/bk;R$ 466,65
22;Cadeira Gamer Mymax MX7, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto Gold Edition - MGCH-002/BK;R$ 699,99
23;Cadeira Gamer Prizi, Até 120 Kg, Com Almofadas, Roxa - PZ1006E;R$ ----
24;Cadeira Gamer Husky Gaming Hailstorm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BW;R$ ----
25;Cadeira Gamer Husky Gaming Blizzard RGB, Preto, Luz RGB, Com Almofadas, Reclinável - HBL-RGB;R$ 859,99
26;Cadeira Gamer Husky Gaming Storm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BW;R$ 694,99
27;Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Preto - 13634-7;R$ 1.549,90
28;Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y;R$ ----
29;Cadeira Gamer PCYes Mad Racer V8 Turbo, Black - V8TBMADPT;R$ 1.099,99
30;Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Graphite - 13639-2;R$ 1.579,90
31;Cadeira DT3 Nero, Até 120kg, com Almofada, Reclinável, Braço 4D, Cilindro de Gás Classe 4, Preto - 13747-2;R$ 1.399,99
32;Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - XTR-010;R$ 1.149,99
33;Cadeira Gamer Husky Gaming Blizzard, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BW;R$ ----
34;Cadeira Gamer DT3 Elise, Até 130 Kg, com Almofadas, Reclinável, Preto - 13436-7;R$ 1.044,99
35;Cadeira Gamer Fox Office Fox Racer, até 130kgs, com RGB e Iluminação LED, com almofadas, Reclinável, Preta;R$ ----
36;Cadeira Gamer Fox Racer, Peso Suportado até 130Kg, LED RGB, Branco;R$ ----
37;Cadeira Gamer Prizi Pz1005, Até 120Kg, Roxa;R$ ----
38;Cadeira Gamer Prizi Infinity, até 120KG, Escritório, Azul;R$ ----
39;Cadeira Gamer Husky Gaming Hailstorm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BR;R$ ----
40;Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Roxo;R$ 679,15
41;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Branco - MGCH-MX5/WH;R$ 679,99
42;Cadeira Gamer Husky Gaming Storm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BB;R$ 689,99
43;Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB;R$ 489,99
44;Cadeira Gamer Mymax Mx8, Giratória, 150Kg, Preto E Vermelho;R$ 594,15
45;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Azul - MGCH-MX5/BL;R$ 679,99
46;Cadeira Gamer ThunderX3 EC3, Até 120 kg,  Preto - 67998;R$ 989,99
47;Cadeira Gamer Husky Gaming Hailstorm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BB;R$ ----
48;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - MGCH-MX5/RD;R$ 689,99
49;Cadeira Gamer Prizi PZ1006E, Até 120 Kg, Couro sintético de PU, Ângulo ajustável, Descanso de pé, Amarela;R$ ----
50;Cadeira Gamer Alpha Gamer Polaris Edition, Até 150Kg, Descanso de Braço 4D,  Preto e Branco - AGPOLARISRE-BK-BL;R$ 1.559,99
51;Cadeira Gamer  DT3 Nero,  Até 120kg, com Almofada, Reclinável, Braço 4D, Cilindro de Gás Classe 4, Grafite - 13748-3;R$ 1.429,99
52;Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Marrom - XTR-016;R$ 1.229,99
53;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Preto - 76418;R$ 1.199,99
54;Cadeira Gamer Husky Gaming Snow, Preto e Vermelho, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BR;R$ 489,99
55;Cadeira Gamer Mx5, Giratoria, Branco e Rosa - Mymax;R$ 679,15
56;Cadeira Gamer Thunderx3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Rosa e Preto - 78203;R$ 1.129,99
57;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Cinza - 13445-7;R$ 1.089,99
58;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto - XTR-018;R$ 1.029,99
59;Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Azul;R$ 679,15
60;Cadeira Gamer Raven X-10, Até 150Kg, com Almofadas, Descanso de Braço 4D, Reclinável, Trava de Inclinação, Preto e Vermelho - CDRVX10PV;R$ 659,99
61;Cadeira Gamer Mymax Mx5 ,Peso Suportado até 150Kg, Giratória, Preto;R$ 679,15
62;Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Cloud - 13637-0;R$ 1.549,99
63;Cadeira Gamer Raven X-10, Até 150Kg, Com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Azul - CDRVX10PA;R$ 659,99
64;Cadeira Gamer DT3 Romeo, Até 140 kg, Com Almofadas, Apoio de Braço 3D+, Reclinável, Preto - 13791-1;R$ 1.169,99
65;Cadeira Gamer Alpha Gamer Polaris Racing Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço  4D, Preto e Azul - AGPOLARISRE-BK-BL;R$ 1.399,99
66;Cadeira Gamer Prizi Runner, Até 120Kg, Branca;R$ 359,90
67;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ ----
68;Cadeira Gamer Mymax MX7, Suportado até 150Kg, Giratória, Preto e Rosa;R$ 634,95
69;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 489,99
70;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Branco - 76421;R$ 1.149,99
71;Cadeira Gamer Stillus Ergonômica Com Apoio Para Os Pés - Preto;R$ 490,95
72;Cadeira Gamer Mymax Mx5, Suportado até 150Kg, Giratória, Preto e Branco;R$ 679,15
73;Cadeira Gamer Fortrek Vickers, Até 120Kg, com Almofadas, Preto - 7051;R$ 729,99
74;Cadeira Gamer PCYes Mad Racer V8 Turbo, Blue - V8TBMADAZ;R$ 1.084,99
75;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Rosa - Mgch-mx0/pk;R$ 381,65
76;Cadeira Gamer Husky Gaming Storm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BR;R$ 729,99
77;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 1.099,99
78;Cadeira Gamer ThunderX3 BC7 Larger, Black/Cyan - 68841;R$ 1.899,99
79;Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Grape - 13638-1;R$ 1.545,99
80;Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Off White - XTR-068;R$ 1.229,99
81;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto e Branco - XTR-022;R$ 999,99
82;Cadeira Gamer ThunderX3 TGC12, Até 120kg, Com Almofadas, Descanso de Braço 2D, Preto e Azul;R$ 1.099,99
83;Cadeira Gamer Prizi Runner - Preta;R$ 359,90
84;Cadeira Gamer Fortrek Cruiser Black - 70514;R$ 839,99
85;Cadeira Gamer ThunderX3 TGC12, Black Green;R$ 1.099,99
86;Cadeira Gamer Mymax MX8, Até 150Kg, Giratória, Preto e Azul;R$ 594,15
87;Cadeira Gamer Husky Gaming Snow, Preto e Branco, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BW;R$ 489,99
88;Cadeira Gamer Mymax Mx0, Suporta Até 120kg, Giratória, Preto E Branco;R$ 381,65
89;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Almofadas, Reclinável, Cilindro Classe 4, Cinza e Branco - CF-9010048-WW;R$ 1.949,99
90;Cadeira Gamer Noblechairs Hero, Black Gold - NBL-HRO-PU-GOL;R$ 2.349,99
91;Cadeira Gamer PCYes Mad Racer V8 Turbo, Red - V8TBMADVM;R$ 1.084,99
92;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Verde - MGCH-MX5/GRWH;R$ 679,99
93;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto - 13443-5;R$ 1.099,99
94;Cadeira Gamer Noblechairs EPIC, Black - NBL-PU-BLA-002;R$ 2.199,99
95;Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - XTR-034;R$ 989,99
96;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Azul - 13444-6;R$ 1.099,99
97;Cadeira Gamer Husky Gaming Blizzard, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BR;R$ ----
98;Cadeira Gamer Husky Gaming Storm, Branco e Rosa, Com Almofadas, Reclinável, Descanso de Braço 4D - HST-PW;R$ 899,99
99;Cadeira Gamer DT3 Gamma Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - 13491-8;R$ 1.239,99
